tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-sex,animal-taxon-detail,attachment-type,deployment-id,manipulation-type,study-site
OR39,OR39,Cervus elaphus,2014-02-26 01:00:00.000,,adult,f,ssp. canadensis,collar,OR39,none,"Banff National Park, Canada"
OR40,OR40,Cervus elaphus,2014-02-27 01:00:00.000,,adult,f,ssp. canadensis,collar,OR40,none,"Banff National Park, Canada"
YL114_BL274,YL114_BL274,Cervus elaphus,2014-02-28 01:00:00.000,,adult,f,ssp. canadensis,collar,YL114_BL274,none,"Banff National Park, Canada"
OR23,OR23,Cervus elaphus,2014-02-28 01:01:00.000,,adult,f,ssp. canadensis,collar,OR23,none,"Banff National Park, Canada"
YL160_OR12,YL160_OR12,Cervus elaphus,2014-03-04 01:00:00.000,,adult,f,ssp. canadensis,collar,YL160_OR12,none,"Banff National Park, Canada"
YL100,YL100,Cervus elaphus,2014-03-04 01:01:00.000,,adult,f,ssp. canadensis,collar,YL100,none,"Banff National Park, Canada"
YL101,YL101,Cervus elaphus,2014-03-04 19:01:00.000,,adult,f,ssp. canadensis,collar,YL101,none,"Banff National Park, Canada"
OR55_OR15,OR55_OR15,Cervus elaphus,2014-03-05 01:00:00.000,,adult,f,ssp. canadensis,collar,OR55_OR15,none,"Banff National Park, Canada"
YL123_OR7,YL123_OR7,Cervus elaphus,2014-03-05 01:00:00.000,,adult,f,ssp. canadensis,collar,YL123_OR7,none,"Banff National Park, Canada"
YL138_BL295,YL138_BL295,Cervus elaphus,2014-03-06 01:00:00.000,,adult,f,ssp. canadensis,collar,YL138_BL295,none,"Banff National Park, Canada"
YL136_BL284,YL136_BL284,Cervus elaphus,2014-03-07 01:01:00.000,,adult,f,ssp. canadensis,collar,YL136_BL284,none,"Banff National Park, Canada"
YL109_OR35,YL109_OR35,Cervus elaphus,2014-03-07 03:00:00.000,,adult,f,ssp. canadensis,collar,YL109_OR35,none,"Banff National Park, Canada"
YL157_OR37,YL157_OR37,Cervus elaphus,2014-03-12 22:02:00.000,,adult,f,ssp. canadensis,collar,YL157_OR37,none,"Banff National Park, Canada"
YL111_OR6,YL111_OR6,Cervus elaphus,2014-03-13 00:01:00.000,,adult,f,ssp. canadensis,collar,YL111_OR6,none,"Banff National Park, Canada"
YL106,YL106,Cervus elaphus,2014-03-14 00:01:00.000,,adult,f,ssp. canadensis,collar,YL106,none,"Banff National Park, Canada"
YL107,YL107,Cervus elaphus,2014-03-14 00:03:00.000,,adult,f,ssp. canadensis,collar,YL107,none,"Banff National Park, Canada"
YL167_OR10,YL167_OR10,Cervus elaphus,2014-03-18 19:01:00.000,,adult,f,ssp. canadensis,collar,YL167_OR10,none,"Banff National Park, Canada"
YL132_OR2,YL132_OR2,Cervus elaphus,2014-03-31 00:00:00.000,,adult,f,ssp. canadensis,collar,YL132_OR2,none,"Banff National Park, Canada"
YL110_OR29,YL110_OR29,Cervus elaphus,2015-02-11 01:02:00.000,,adult,f,ssp. canadensis,collar,YL110_OR29,none,"Banff National Park, Canada"
YL112_OR38,YL112_OR38,Cervus elaphus,2015-02-11 17:00:00.000,,adult,f,ssp. canadensis,collar,YL112_OR38,none,"Banff National Park, Canada"
YL118_OR8,YL118_OR8,Cervus elaphus,2015-02-13 21:03:00.000,,adult,f,ssp. canadensis,collar,YL118_OR8,none,"Banff National Park, Canada"
YL120_BL290,YL120_BL290,Cervus elaphus,2015-02-14 01:01:00.000,,adult,f,ssp. canadensis,collar,YL120_BL290,none,"Banff National Park, Canada"
YL124,YL124,Cervus elaphus,2015-02-15 01:00:00.000,,adult,f,ssp. canadensis,collar,YL124,none,"Banff National Park, Canada"
OR82,OR82,Cervus elaphus,2015-02-16 01:02:00.000,,adult,f,ssp. canadensis,collar,OR82,none,"Banff National Park, Canada"
YL134_BL262,YL134_BL262,Cervus elaphus,2015-02-18 01:00:00.000,,adult,f,ssp. canadensis,collar,YL134_BL262,none,"Banff National Park, Canada"
YL139_BL220,YL139_BL220,Cervus elaphus,2015-02-19 01:00:00.000,,adult,f,ssp. canadensis,collar,YL139_BL220,none,"Banff National Park, Canada"
OR53_OR22,OR53_OR22,Cervus elaphus,2015-02-26 19:01:00.000,,adult,f,ssp. canadensis,collar,OR53_OR22,none,"Banff National Park, Canada"
GR513,GR513,Cervus elaphus,2015-02-28 01:00:00.000,,adult,f,ssp. canadensis,collar,GR513,none,"Banff National Park, Canada"
OR56_BL251,OR56_BL251,Cervus elaphus,2015-03-02 01:01:00.000,,adult,f,ssp. canadensis,collar,OR56_BL251,none,"Banff National Park, Canada"
OR60_BL288,OR60_BL288,Cervus elaphus,2015-03-06 01:01:00.000,,adult,f,ssp. canadensis,collar,OR60_BL288,none,"Banff National Park, Canada"
OR65_BL265,OR65_BL265,Cervus elaphus,2015-03-07 17:01:00.000,,adult,f,ssp. canadensis,collar,OR65_BL265,none,"Banff National Park, Canada"
YL154,YL154,Cervus elaphus,2016-02-13 01:00:00.000,,adult,f,ssp. canadensis,collar,YL154,none,"Banff National Park, Canada"
YL152_YL63,YL152_YL63,Cervus elaphus,2016-02-13 01:01:00.000,,adult,f,ssp. canadensis,collar,YL152_YL63,none,"Banff National Park, Canada"
YL153,YL153,Cervus elaphus,2016-02-13 01:01:00.000,,adult,f,ssp. canadensis,collar,YL153,none,"Banff National Park, Canada"
YL155_OR16,YL155_OR16,Cervus elaphus,2016-02-14 01:00:00.000,,adult,f,ssp. canadensis,collar,YL155_OR16,none,"Banff National Park, Canada"
YL158_OR21,YL158_OR21,Cervus elaphus,2016-02-15 01:01:00.000,,adult,f,ssp. canadensis,collar,YL158_OR21,none,"Banff National Park, Canada"
YL156,YL156,Cervus elaphus,2016-02-15 01:01:00.000,,adult,f,ssp. canadensis,collar,YL156,none,"Banff National Park, Canada"
YL162_BC13,YL162_BC13,Cervus elaphus,2016-02-17 01:00:00.000,,adult,f,ssp. canadensis,collar,YL162_BC13,none,"Banff National Park, Canada"
YL161,YL161,Cervus elaphus,2016-02-17 01:00:00.000,,adult,f,ssp. canadensis,collar,YL161,none,"Banff National Park, Canada"
YL159,YL159,Cervus elaphus,2016-02-17 01:00:00.000,,adult,f,ssp. canadensis,collar,YL159,none,"Banff National Park, Canada"
YL163,YL163,Cervus elaphus,2016-02-18 01:00:00.000,,adult,f,ssp. canadensis,collar,YL163,none,"Banff National Park, Canada"
OR61,OR61,Cervus elaphus,2016-02-19 21:01:00.000,,adult,f,ssp. canadensis,collar,OR61,none,"Banff National Park, Canada"
YL166,YL166,Cervus elaphus,2016-02-22 01:00:00.000,,adult,f,ssp. canadensis,collar,YL166,none,"Banff National Park, Canada"
YL137_BE13,YL137_BE13,Cervus elaphus,2016-02-22 17:02:00.000,,adult,f,ssp. canadensis,collar,YL137_BE13,none,"Banff National Park, Canada"
OR52_OR28,OR52_OR28,Cervus elaphus,2016-02-22 17:02:00.000,,adult,f,ssp. canadensis,collar,OR52_OR28,none,"Banff National Park, Canada"
YL168,YL168,Cervus elaphus,2016-02-23 01:00:00.000,,adult,f,ssp. canadensis,collar,YL168,none,"Banff National Park, Canada"
OR66_BL293,OR66_BL293,Cervus elaphus,2016-02-27 01:00:00.000,,adult,f,ssp. canadensis,collar,OR66_BL293,none,"Banff National Park, Canada"
YL169,YL169,Cervus elaphus,2016-02-27 01:00:00.000,,adult,f,ssp. canadensis,collar,YL169,none,"Banff National Park, Canada"
YL170,YL170,Cervus elaphus,2016-02-27 01:00:00.000,,adult,f,ssp. canadensis,collar,YL170,none,"Banff National Park, Canada"
YL171,YL171,Cervus elaphus,2016-02-28 01:00:00.000,,adult,f,ssp. canadensis,collar,YL171,none,"Banff National Park, Canada"
YL172,YL172,Cervus elaphus,2016-02-28 01:00:00.000,,adult,f,ssp. canadensis,collar,YL172,none,"Banff National Park, Canada"
YL176,YL176,Cervus elaphus,2017-03-01 02:01:00.000,,adult,f,ssp. canadensis,collar,YL176,none,"Banff National Park, Canada"
